Model,MTBench,Gpqa,Financeqa,Livecodebench,Humaneval,Gsm8k,Math500
nex-30b-a3b-no-eagle.jsonl,1452.2764422274313,1548.8826909910986,1425.5106690933728,1521.1879038132884,1436.6174143524684,1013.8120898257492,1531.4263591410456
nex-30b-a3b-nex-n1_results_20251219_061146.jsonl,2215.4716651259737,2572.711363815955,1895.7745054400903,2247.4952892553247,2503.967104749063,1313.3824385505711,2630.741526680767
qwen3-coder-480b-a35b-no-eagle.jsonl,,,,500.99996954994094,470.6571664751315,,
qwen3-coder-480b-a35b-qwen3-coder-480b-a35b-spec-bundle_results_20251218_170822.jsonl,,,,983.2554936551461,1165.0727231905212,,
qwen3-235b-a22b-no-eagle.jsonl,529.8952857212083,563.1619467852893,539.5161023038148,598.1832041732818,553.0503522362385,469.12940470010284,587.3767625807179
qwen3-235b-a22b-qwen3-235b-lmsys_results_20251218_141805.jsonl,642.7287443329789,716.6967887897075,689.4282413740445,803.7805606947842,889.8951303902317,696.9862910262393,821.7716217768141
qwen3-235b-a22b-qwen3-235b-spec-bundle_results_20251218_203529.jsonl,814.539845630713,826.5168292170538,889.0304393086461,1155.6572987907093,1267.5178598410528,758.2839780669175,1399.195876342606
qwen3-30b-a3b-no-eagle.jsonl,1341.3462205459145,1410.428038868636,1320.1266846132082,1492.6190597361915,1366.6183006362219,1071.2940027174511,1468.9518188983302
qwen3-30b-a3b-qwen3-30b-a3b-spec-bundle_results_20251217_083105.jsonl,2086.117426859236,2341.298191039886,1778.9653109324079,3413.029275629196,3069.9815866099266,1499.6157892300257,3636.1457092511932
ling-flash-v2-no-eagle.jsonl,728.5278345617202,794.1289733679167,747.7098566179897,770.3957537752161,740.2477168580639,674.3464018618124,762.7113399535667
ling-flash-v2-ling-flash-v2-spec-bundle-bs-8-tp-1_results_20251221_094330.jsonl,1022.5890920470158,1185.7250147683403,863.8565336005082,1366.417326281792,1358.9726439538854,1323.0093663978187,1685.5692612687462
qwen3-coder-30b-a3b-no-eagle.jsonl,,,,1506.2936922288973,1296.1854608851213,,
qwen3-coder-30b-a3b-qwen3-coder-30b-a3b-spec-bundle_results_20251217_064622.jsonl,,,,3472.3919294148427,3205.2025971977832,,
qwen3-next-80b-a3b-no-eagle.jsonl,803.4970369348379,909.8620481543201,827.3050477430119,916.0337036761792,788.4509521573036,549.6362180919164,863.7773324206034
qwen3-next-80b-a3b-qwen3-next-80b-a3b-spec-bundle_results_20251219_175417.jsonl,1198.9417562126052,1541.4580844550508,1057.6549922432027,1829.5532782765572,1629.7244930267507,773.4012327870145,1912.6838622508392
llama3.1-8b-no-eagle.jsonl,189.98120707576373,190.4500188461883,185.6534194378935,189.70410640395912,190.91017930680567,181.81151788749455,191.04076784280642
llama3.1-8b-llama3-frankleeeee-sharegpt-ultrachat_results_20251216_230023.jsonl,416.36374496823214,450.50413363948354,255.4887869268018,419.0038789093697,471.9468730128495,267.18545403157736,438.7898136010526
llama3.1-8b-llama3-lmsys_results_20251216_231819.jsonl,454.730035166582,438.0519648397228,237.18050733350836,398.3738662742165,480.3152659024827,228.64232714994796,422.40466722576286
llama3.1-8b-llama3-frankleeeee-perfect-blend_results_20251216_224654.jsonl,425.0687432981309,465.414507570984,251.95248168415185,438.55929934647577,455.6341282707174,350.27173864286675,504.28004374612624
llama3.1-8b-llama3-frankleeeee-perfect-blend-regen_results_20251216_221752.jsonl,450.03198538047087,514.2312383540044,258.6437346257605,516.904537338255,571.4886457684788,329.6873220645443,638.0439777096752
nex-32b-nex-n1-32b_results_20251219_085757.jsonl,1572.9306853542914,1757.3085539680644,1237.055422723613,2093.077746561105,2037.1054455526653,1548.59251880259,2369.8772463040664
nex-32b-no-eagle.jsonl,870.9342543899324,935.1394429631562,795.0227108006947,949.5549304055762,919.8642251751459,799.9058122566574,936.3862928231242
kimi-k2-no-eagle.jsonl,430.9240376244664,505.3742994094499,433.44658979995484,500.12137141510016,466.0584238730984,337.92445122816076,492.06079685961566
kimi-k2-kimi-k2-spec-bundle_results_20251220_165919.jsonl,533.8166177911393,811.3642458480507,660.0254297132984,904.3910288246204,897.9039799990946,544.16588655688,1022.7285831443611
llama4-scout-no-eagle.jsonl,502.10114738381606,541.0010469896803,288.9007335547823,484.2501137181978,631.8746804703884,455.9311905316165,561.835811548351
llama4-scout-llama4-scout-spec-bundle_results_20251218_061931.jsonl,1312.399917450856,1502.213627081269,1189.61672405822,2170.188140733029,1944.8214954525663,971.8534490877095,2110.3314050998847
llama4-scout-llama4-scout-lmsys_results_20251218_085608.jsonl,1252.9681990096112,1405.110892125768,1022.713052476267,1601.2688464385185,1556.515161340629,816.6176343207234,1478.9989946720648
llama3.3-70b-llama3-70b-perfect-blend-regen_results_20251217_074945.jsonl,1440.3671955624673,1039.643962895085,936.4940018423655,1423.2736941362525,1426.372333907719,855.6400225608106,1382.9357431087456
llama3.3-70b-no-eagle.jsonl,540.4640557255416,575.6879373469175,512.5751663875466,560.8834615148919,560.9500728009846,453.2156138501392,567.3739460148672
llama3.3-70b-llama3-70b-perfect-blend_results_20251217_043141.jsonl,1272.7336351623176,1048.9544522067597,981.7421873926666,1459.3927052359625,1506.0306313932072,721.9674091381493,1524.9182840062704
llama3.3-70b-llama3-70b-lmsys_results_20251217_052159.jsonl,1425.2993761886291,963.8356757692138,704.0737829344649,1303.4195570335166,1282.7936401185236,521.4502791575164,1122.2476729474943
